,Date,Open,High,Low,Close,Crypto
3310,2021-01-08,1254.22,1273.17,1072.44,1190.64,ETH
3311,2021-01-08,173.44,181.59,151.05,169.23,LTC
3312,2021-01-09,39927.0,41401.0,38775.0,40769.0,BTC
3313,2021-01-09,1188.41,1296.27,1167.73,1292.24,ETH
3314,2021-01-09,169.4,177.85,163.71,177.73,LTC
3315,2021-01-10,40802.0,41423.0,35193.0,37984.0,BTC
3316,2021-01-10,1293.0,1349.99,1160.05,1269.99,ETH
3317,2021-01-10,178.06,185.97,162.29,169.08,LTC
3318,2021-01-11,37984.0,38931.0,30323.0,34184.0,BTC
3319,2021-01-11,1269.58,1288.44,913.93,1035.1,ETH
3320,2021-01-11,169.08,172.53,113.66,131.26,LTC
3321,2021-01-12,34088.0,36612.0,32585.0,34766.0,BTC
3322,2021-01-12,1035.76,1148.97,1005.99,1078.26,ETH
3323,2021-01-12,131.1,146.8,128.12,137.0,LTC
3324,2021-01-13,34736.0,37358.0,32466.0,37248.0,BTC
3325,2021-01-13,1075.4,1127.0,986.67,1126.3,ETH
3326,2021-01-13,137.09,145.54,125.87,145.25,LTC
3327,2021-01-14,37248.0,40030.0,36799.0,38863.0,BTC
3328,2021-01-14,1128.62,1246.02,1088.71,1189.0,ETH
3329,2021-01-14,145.35,156.62,143.5,149.92,LTC
3330,2021-01-15,38757.0,39673.0,34446.0,36324.0,BTC
3331,2021-01-15,1186.42,1253.18,1074.53,1160.75,ETH
3332,2021-01-15,149.94,155.29,130.86,141.05,LTC
3333,2021-01-16,36324.0,37938.0,35624.0,35785.0,BTC
3334,2021-01-16,1160.61,1290.89,1153.07,1228.99,ETH
3335,2021-01-16,141.05,152.57,139.6,143.51,LTC
3336,2021-01-17,35935.0,36828.0,33928.0,36530.0,BTC
3337,2021-01-17,1234.3,1265.55,1167.71,1260.64,ETH
3338,2021-01-17,144.05,146.92,136.62,145.43,LTC
3339,2021-01-18,36530.0,37433.0,34841.0,36255.0,BTC
3340,2021-01-18,1262.97,1267.46,1185.61,1234.03,ETH
3341,2021-01-18,145.43,154.63,138.48,149.1,LTC
3342,2021-01-19,36252.0,37843.0,36170.0,36494.0,BTC
3343,2021-01-19,1234.91,1436.47,1233.94,1410.55,ETH
3344,2021-01-19,149.1,166.08,148.72,158.84,LTC
3345,2021-01-20,36494.0,36788.0,33487.0,34892.0,BTC
3346,2021-01-20,1409.34,1424.99,1240.33,1323.76,ETH
3347,2021-01-20,158.62,159.88,138.83,146.66,LTC
3348,2021-01-21,34919.0,35664.0,31048.0,31275.0,BTC
3349,2021-01-21,1323.01,1389.16,1165.86,1174.95,ETH
3350,2021-01-21,146.66,150.22,129.96,132.08,LTC
3351,2021-01-22,31275.0,33842.0,28898.0,33375.0,BTC
3352,2021-01-22,1169.06,1273.92,1043.42,1243.67,ETH
3353,2021-01-22,131.95,141.83,122.68,138.31,LTC
3354,2021-01-23,33375.0,33642.0,31471.0,32340.0,BTC
3355,2021-01-23,1246.13,1272.56,1198.12,1248.5,ETH
3356,2021-01-23,138.27,143.16,135.24,139.52,LTC
3357,2021-01-24,32399.0,33069.0,31012.0,31934.0,BTC
3358,2021-01-24,1247.98,1365.55,1224.01,1353.24,ETH
3359,2021-01-24,139.52,142.54,134.08,138.25,LTC
3360,2021-01-25,31934.0,34860.0,31731.0,32643.0,BTC
3361,2021-01-25,1352.0,1473.54,1313.54,1345.18,ETH
3362,2021-01-25,138.27,147.6,136.99,138.55,LTC
3363,2021-01-26,32681.0,32812.0,30921.0,31993.0,BTC
3364,2021-01-26,1346.57,1375.27,1246.0,1335.01,ETH
3365,2021-01-26,138.58,139.62,128.5,133.82,LTC
3366,2021-01-27,31993.0,32879.0,29288.0,31030.0,BTC
3367,2021-01-27,1335.0,1375.47,1210.05,1275.28,ETH
3368,2021-01-27,133.49,136.44,118.23,123.96,LTC
3369,2021-01-28,30941.0,33286.0,29970.0,33274.0,BTC
3370,2021-01-28,1277.96,1358.04,1222.59,1350.38,ETH
3371,2021-01-28,123.97,133.16,121.04,133.16,LTC
3372,2021-01-29,33274.0,38641.0,32002.0,34715.0,BTC
3373,2021-01-29,1354.54,1438.01,1293.16,1375.79,ETH
3374,2021-01-29,133.15,145.49,131.75,136.28,LTC
3375,2021-01-30,34642.0,35344.0,32880.0,34649.0,BTC
3376,2021-01-30,1374.13,1409.55,1327.92,1385.72,ETH
3377,2021-01-30,136.28,138.76,128.48,134.21,LTC
3378,2021-01-31,34649.0,34789.0,32237.0,32626.0,BTC
3379,2021-01-31,1386.28,1391.57,1284.67,1296.0,ETH
3380,2021-01-31,134.21,135.0,125.85,127.72,LTC
3381,2021-02-01,32608.0,34698.0,32397.0,33667.0,BTC
3382,2021-02-01,1298.4,1351.96,1273.29,1348.97,ETH
3383,2021-02-01,127.73,136.42,126.03,131.78,LTC
3384,2021-02-02,33667.0,35982.0,33470.0,35686.0,BTC
3385,2021-02-02,1350.78,1539.88,1344.88,1516.43,ETH
3386,2021-02-02,131.96,145.92,131.86,142.17,LTC
3387,2021-02-03,35710.0,37450.0,35473.0,37284.0,BTC
3388,2021-02-03,1521.01,1650.0,1511.43,1633.45,ETH
3389,2021-02-03,142.21,156.17,142.14,155.0,LTC
3390,2021-02-04,37284.0,38725.0,36281.0,37712.0,BTC
3391,2021-02-04,1636.13,1696.88,1562.9,1642.51,ETH
3392,2021-02-04,155.08,158.66,142.44,148.6,LTC
3393,2021-02-05,37687.0,38325.0,36642.0,37853.0,BTC
3394,2021-02-05,1642.38,1762.0,1591.69,1721.71,ETH
3395,2021-02-05,148.6,156.8,143.81,153.02,LTC
3396,2021-02-06,37853.0,40972.0,37714.0,40103.0,BTC
3397,2021-02-06,1718.46,1743.59,1648.73,1710.88,ETH
3398,2021-02-06,152.99,164.11,150.29,158.28,LTC
3399,2021-02-07,40085.0,40481.0,37422.0,38610.0,BTC
3400,2021-02-07,1712.0,1719.0,1502.2,1602.5,ETH
3401,2021-02-07,158.08,159.24,145.6,150.7,LTC
3402,2021-02-08,38610.0,44797.0,38085.0,44797.0,BTC
3403,2021-02-08,1599.33,1774.62,1569.98,1702.98,ETH
3404,2021-02-08,150.71,168.04,148.13,164.57,LTC
3405,2021-02-09,44692.0,48219.0,44356.0,47357.0,BTC
3406,2021-02-09,1700.03,1822.24,1700.03,1769.73,ETH
3407,2021-02-09,164.45,178.29,163.32,177.26,LTC
3408,2021-02-10,47357.0,47357.0,43783.0,45039.0,BTC
3409,2021-02-10,1769.71,1837.84,1682.0,1727.99,ETH
3410,2021-02-10,176.77,194.92,171.6,180.12,LTC
3411,2021-02-11,45050.0,48593.0,44090.0,46943.0,BTC
3412,2021-02-11,1728.0,1817.0,1706.91,1769.92,ETH
3413,2021-02-11,180.12,193.03,176.29,182.89,LTC
3414,2021-02-12,46943.0,48842.0,46438.0,47853.0,BTC
3415,2021-02-12,1769.0,1861.74,1741.55,1851.59,ETH
3416,2021-02-12,182.86,198.09,177.38,195.09,LTC
3417,2021-02-13,47962.0,48143.0,46342.0,47210.0,BTC
3418,2021-02-13,1852.75,1873.28,1765.9,1814.5,ETH
3419,2021-02-13,195.13,227.32,192.37,221.97,LTC
3420,2021-02-14,47210.0,49698.0,46954.0,48921.0,BTC
3421,2021-02-14,1814.19,1851.8,1787.99,1828.54,ETH
3422,2021-02-14,221.87,230.72,209.01,218.66,LTC
3423,2021-02-15,48840.0,49277.0,45944.0,48183.0,BTC
3424,2021-02-15,1828.65,1835.02,1672.69,1792.02,ETH
3425,2021-02-15,218.37,220.24,188.59,211.84,LTC
3426,2021-02-16,48183.0,50513.0,47186.0,48642.0,BTC
3427,2021-02-16,1791.89,1825.11,1726.0,1753.24,ETH
3428,2021-02-16,211.71,221.94,200.45,206.47,LTC
3429,2021-02-17,48607.0,52619.0,48590.0,52333.0,BTC
3430,2021-02-17,1753.0,1854.09,1733.98,1854.0,ETH
3431,2021-02-17,206.23,237.0,203.56,236.74,LTC
3432,2021-02-18,52333.0,52524.0,51023.0,52059.0,BTC
3433,2021-02-18,1856.64,1949.72,1832.98,1944.68,ETH
3434,2021-02-18,236.2,238.86,221.38,229.41,LTC
3435,2021-02-19,52051.0,56211.0,50880.0,55493.0,BTC
3436,2021-02-19,1944.92,1974.67,1891.99,1957.91,ETH
3437,2021-02-19,229.54,241.74,220.55,238.0,LTC
3438,2021-02-20,55493.0,57485.0,55101.0,56501.0,BTC
